Sex,Length,Diameter,Height,SWeight
0,1.725,1.325,0.475,19.220961
0,1.4875,1.1875,0.35,13.96212875
1,1.45,1.1375,0.425,10.602713
1,1.2375,0.9625,0.3375,8.51902475
0,1.35,1.0375,0.3625,7.47009325
1,1.5125,1.125,0.4875,13.6361095
0,1.6625,1.3125,0.3875,15.09610875
1,1.625,1.2625,0.4125,16.23008875
0,1.375,1.0875,0.3625,9.298636
0,1.675,1.25,0.475,17.463292
0,1.1,0.8,0.3,6.90310325
1,1.4625,1.15,0.375,14.2597985
0,1.5875,1.3125,0.4625,19.391058
0,1.15,0.85,0.3375,4.69184225
0,1.5,1.025,0.3625,12.68640125
0,1.4625,1.225,0.4625,14.798439
1,1.175,0.9125,0.2625,4.6209685
0,1.2625,0.9625,0.275,9.02931575
0,1.8375,1.475,0.5125,25.7696955
1,1.3375,1.0125,0.3125,7.37087
1,1.5375,1.1375,0.3625,14.30232275
0,1.3375,1.0375,0.3375,8.97261675
0,1.2125,0.925,0.3875,11.8784405
1,1.275,0.9375,0.275,8.12213175
0,1.525,0.9125,0.3875,13.834556
0,1.475,1.1,0.375,10.375917
1,1.6,1.3125,0.4375,18.313777
0,1.4125,1.075,0.375,12.03436275
1,1.375,1.1,0.375,8.91591775
1,0.95,0.8125,0.275,3.40194
1,1.6875,1.325,0.4375,19.20678625
0,1.6375,1.3625,0.475,17.93105875
1,1.175,0.8875,0.45,4.32329875
1,1.475,1.1875,0.3875,10.5176645
1,1.3625,1.1125,0.4375,9.82310175
1,1.5625,1.25,0.4125,16.2442635
0,1.3125,1,0.325,7.52679225
0,1.575,1.2875,0.4375,13.947954
0,1.175,0.925,0.3375,6.293589
0,1.65,1.2625,0.5,13.79203175
1,1.2625,1.025,0.3375,8.2497045
1,1.4375,1.15,0.4125,13.65028425
1,1.4375,1.15,0.475,11.113004
1,1.625,1.225,0.3875,15.4504775
0,1.8625,1.4625,0.5375,26.26581175
0,1.525,1.2,0.425,12.94154675
0,1.5375,1.175,0.375,14.10387625
0,1.2375,0.9625,0.3375,5.9817445
0,1.3375,1.1,0.375,7.257472
1,1.5,1.2125,0.3625,10.04989775
0,1.5625,1.2625,0.4375,15.37960375
0,1.3625,1.125,0.375,9.53960675
0,1.25,0.9625,0.3375,9.05766525
1,1.5375,1.3,0.375,17.8318355
0,1.5625,1.2,0.3625,13.16834275
0,1.5375,1.2625,0.475,19.03668925
0,1.5625,1.2,0.45,16.0174675
0,1.575,1.2,0.375,18.72484475
0,1.2,0.925,0.325,9.8939755
0,1.525,1.2125,0.425,16.9246515
0,0.925,0.725,0.225,3.118445
0,1.2375,1.0375,0.4125,7.484268
1,1.3875,1.1125,0.4375,15.6205745
0,1.25,0.9625,0.3625,6.973977
1,1.6125,1.2625,0.4125,15.592225
0,1.475,1.25,0.4125,12.94154675
0,1.475,1.0125,0.375,9.241937
1,1.2375,1,0.3875,6.860579
0,1.4,1.1375,0.4125,11.38232425
0,1.225,1.1625,0.3125,6.6621325
1,1.65,1.25,0.4375,15.762322
1,1.6875,1.275,0.4625,17.84601025
0,1.7875,1.375,0.4375,26.591831
0,1.25,1.0375,0.4125,7.0590255
1,1.45,1.0875,0.3875,12.0485375
0,1.35,1.05,0.475,8.3064035
0,1.4,1.125,0.3625,11.01378075
1,1.45,1.0875,0.375,12.133586
1,1.5125,1.1875,0.4375,13.1258185
1,1.725,1.325,0.425,22.52367775
0,1.175,0.925,0.2625,5.74077375
1,1.3,0.9375,0.3375,6.2652395
1,1.4875,1.1625,0.375,11.66581925
1,1.45,1.0625,0.3875,10.24834425
0,1.8125,1.375,0.5,24.76328825
0,1.525,1.2125,0.3625,22.1976585
1,1.4125,1.225,0.3875,11.4815475
0,0.85,0.6875,0.225,2.05533875
0,1.2375,1,0.3375,7.711064
1,1.45,1.1375,0.4,8.845044
1,1.0375,0.8125,0.2875,3.98310475
0,1.325,1.1,0.5125,9.07184
0,1.3,1.0375,0.4375,7.314171
1,1.2625,1.025,0.375,6.8889285
1,1.5875,1.2125,0.3875,13.2392165
1,1.4,1.075,0.375,12.8423235
0,1.1125,0.925,0.3125,7.07320025
0,1.3875,1.0875,0.3625,11.453198
0,1.6125,1.2625,0.4125,12.28950825
0,1.5875,1.2375,0.3875,16.5277585
0,1.825,1.4375,0.525,26.32251075
1,1.6375,1.225,0.4,15.46465225
1,1.6375,1.3,0.475,17.0097
1,1.7,1.375,0.525,16.93882625
1,1.7,1.4,0.4125,17.16562225
1,1.2,0.9375,0.2625,6.19436575
0,1.35,1.0875,0.35,9.355335
0,1.45,1.1875,0.375,10.9145575
0,1.05,0.8375,0.2875,4.8477645
0,1.4875,1.15,0.425,16.159215
0,1.425,1.125,0.3625,11.35397475
0,1.5,1.15,0.3875,8.0796075
0,1.275,1.025,0.3875,16.1308655
0,1.3625,1.1,0.3,9.85145125
1,1.7875,1.3125,0.4625,18.86659225
0,1.4125,1.125,0.35,10.73028575
0,1.3125,1.0375,0.3625,9.99319875
1,1.6625,1.2625,0.4125,16.96717575
1,1.7625,1.375,0.425,18.12950525
1,1.5625,1.2375,0.4,12.74310025
0,1.25,0.975,0.3625,7.7394135
0,1.25,0.975,0.3375,8.91591775
1,1.5125,1.1375,0.3625,9.468733
0,1.5,1.1875,0.4375,15.5638755
1,1.6125,1.2875,0.375,14.5999925
1,1.675,1.3125,0.4875,16.2442635
1,1.4875,1.2,0.5,10.149121
1,1.55,1.2625,0.4,17.81766075
1,0.9,0.6625,0.225,2.721552
0,1.4625,1.175,0.4125,22.6796
0,0.8875,0.6625,0.225,1.417475
0,1.4625,1.15,0.4625,10.30504325
0,1.45,1.15,0.375,13.9196045
0,1.425,1.15,0.3875,12.870673
1,1.525,1.175,0.4,12.076887
0,1.475,1.175,0.375,13.6361095
1,1.3375,1,0.375,9.48290775
0,1.5625,1.2625,0.4625,14.74174
0,1.25,1.05,0.3125,7.2291225
0,1.075,0.8625,0.2875,2.62232875
1,1.825,1.4375,0.4625,26.3933845
0,1.425,1.15,0.375,15.35125425
0,1.55,1.3125,0.3875,12.870673
1,1.55,1.35,0.4125,14.16057525
1,1.0125,0.775,0.3,3.912231
1,1.6125,1.3125,0.475,19.94387325
1,1.1625,0.95,0.3375,5.896696
0,1.2625,1.0125,0.275,8.6465975
0,1.2625,0.9125,0.2875,7.087375
1,1.175,0.9375,0.3,7.83863675
0,1.4625,1.1875,0.3,11.623295
1,1.125,0.9,0.3125,5.76912325
1,1.5,1.1625,0.3875,13.48018725
0,1.1375,0.9375,0.3125,6.10931725
0,1.625,1.2125,0.4,16.20173925
1,1.2625,1.0625,0.35,7.7961125
0,0.9625,0.75,0.2875,4.66349275
0,1.4375,1.125,0.325,9.015141
0,1.4125,1.075,0.325,9.90815025
1,1.4625,1.125,0.425,9.42620875
1,1.4625,1.125,0.4,11.4815475
1,1.2625,0.9625,0.3375,7.1157245
0,1.55,1.2,0.3875,14.9401865
0,1.475,1.1375,0.3875,10.999606
1,1.625,1.3,0.4875,19.5328055
0,1.4625,1.1625,0.3875,12.91319725
1,1.175,0.9,0.325,5.159609
0,1.6375,1.2125,0.4875,17.78931125
1,1.45,1.1625,0.4125,11.453198
1,1.225,0.9625,0.375,6.8322295
1,1.5,1.125,0.375,12.40290625
0,1.2875,0.875,0.3875,11.86426575
1,1.3125,1.075,0.4125,8.1930055
1,1.3625,1.0625,0.3125,8.334753
0,1.5875,1.2125,0.45,13.56523575
0,1.1625,0.9,0.2625,5.329706
0,1.55,1.1625,0.3625,10.6310625
0,1.525,1.2,0.4125,15.80484625
1,1.425,1.15,0.425,11.69416875
0,1.175,0.9,0.2625,7.654365
1,1.4375,1.1625,0.35,12.530479
1,1.2875,0.9875,0.3375,5.71242425
1,1.6,1.2625,0.4375,17.53416575
1,1.475,1.1375,0.3625,14.61416725
1,0.9875,0.7875,0.2625,3.35941575
0,0.9125,0.7125,0.2125,2.42388225
1,1.2625,0.975,0.3125,6.973977
1,1.2625,0.9375,0.2875,7.47009325
1,1.725,1.35,0.3875,17.690088
1,1.3625,1.075,0.35,12.34620725
1,1.525,1.175,0.3625,11.4248485
1,1.3,1.075,0.375,8.561549
1,1.4375,1.1875,0.4,10.21999475
0,1.1,0.9375,0.325,6.406987
0,1.4125,1.175,0.4875,10.9712565
1,1.5625,1.25,0.4375,15.989118
1,1.6625,1.3125,0.525,23.189891
0,1.675,1.3375,0.475,21.16290175
0,1.425,1.15,0.425,11.55242125
0,1.3375,1.0875,0.375,7.6260155
0,1.7125,1.3625,0.5125,23.09066775
0,1.5,1.1875,0.375,14.72756525
1,1.1125,0.825,0.2625,5.10291
1,1.25,0.9625,0.2875,8.34892775
1,1.2625,0.9625,0.2875,6.8889285
0,1.575,1.275,0.475,11.69416875
1,1.1375,0.9375,0.3125,5.62737575
1,1.525,1.2375,0.4375,15.025235
1,1.7625,1.425,0.45,27.21552
0,1.075,0.8375,0.3,5.62737575
1,1.5375,1.1875,0.3875,13.721158
1,1.4,1.1625,0.4,12.246984
1,1.4375,1.125,0.4,8.88756825
1,1.55,1.275,0.4375,14.13222575
1,1.65,1.2375,0.525,20.525038
0,1.3125,1.0625,0.3,8.00873375
1,1.5625,1.225,0.3875,13.1825175
0,1.5375,1.1875,0.375,13.494362
1,1.4125,1.125,0.4375,15.03940975
0,1.7,1.35,0.4875,15.77649675
0,1.5875,1.225,0.4,15.138633
1,1.575,1.2125,0.425,16.85377775
1,1.525,1.2375,0.4625,10.50348975
0,1.55,1.225,0.375,13.05494475
0,1.3625,1.05,0.35,7.01650125
0,1.5875,1.275,0.425,17.5483405
0,1.55,1.1875,0.4625,17.13727275
1,1.625,1.475,0.55,21.829115
1,1.525,1.225,0.425,16.03164225
1,1.4625,1.125,0.4,14.16057525
1,0.9,0.675,0.225,2.39553275
1,1.6,1.25,0.4375,13.99047825
0,1.675,1.3125,0.425,20.2698925
0,1.45,1.125,0.3875,9.1001895
0,1.5,1.1875,0.3875,14.231449
1,1.025,0.8125,0.2625,4.5075705
1,1.45,1.15,0.4625,9.96484925
0,1.4375,1.125,0.3875,12.1619355
0,1.6125,1.25,0.45,16.96717575
1,1.55,1.25,0.425,15.52135125
1,1.55,1.25,0.4375,13.5227115
0,1.55,1.25,0.4125,18.01610725
0,1.55,1.2875,0.4375,15.1669825
1,1.4,1.0625,0.3125,10.2341695
0,1.8875,1.45,0.5125,23.51591025
0,1.175,0.975,0.375,6.19436575
0,1.5625,1.25,0.4875,16.65533125
1,1.6625,1.275,0.4375,19.1359125
1,1.5,1.2625,0.475,12.43125575
0,1.65,1.2375,0.4875,16.839603
1,1.6125,1.225,0.5375,12.09106175
1,1.3625,1.0375,0.375,7.92368525
0,1.525,1.175,0.4125,14.118051
0,1.725,1.35,0.4625,15.1102835
0,1.75,1.35,0.5125,22.35358075
0,1.6125,1.25,0.475,21.0069795
0,1.625,1.3125,0.475,16.93882625
0,1.4375,1.175,0.4625,10.61688775
0,1.7,1.2875,0.4,17.519991
0,1.475,1.1375,0.3625,13.4660125
0,1.225,0.975,0.35,7.92368525
1,1.3125,1.025,0.3375,8.3064035
0,1.525,1.2,0.35,12.40290625
0,1.2875,1.0875,0.3625,8.278054
0,1.25,0.95,0.3875,6.05261825
1,1.775,1.3625,0.4375,24.73493875
1,1.625,1.275,0.4375,16.3009625
1,1.5625,1.2875,0.4,16.20173925
1,1.6125,1.25,0.4,15.52135125
0,1.5875,1.225,0.4375,17.6617385
0,1.55,1.225,0.425,14.69921575
1,1.6875,1.425,0.5625,20.9502805
0,1.5625,1.2375,0.3875,14.33067225
1,1.625,1.3,0.4875,16.96717575
0,1.3375,1.1,0.4125,7.9095105
0,1.1625,0.9,0.275,7.55514175
0,1.6,1.275,0.475,17.61921425
1,1.725,1.3625,0.5125,22.26853225
0,1.6625,1.25,0.4375,17.22232125
1,1.5125,1.2125,0.4125,12.3887315
0,1.475,1.1875,0.3875,10.092422
0,1.1125,0.8625,0.225,4.0539785
1,1.5,1.1875,0.3875,18.5122235
0,1.575,1.2125,0.4,17.6617385
1,1.1375,0.875,0.3125,4.49339575
1,1.15,0.9,0.2875,5.96756975
1,1.15,0.875,0.2875,5.386405
1,1.125,0.9,0.3125,6.293589
0,1.5625,1.225,0.4375,16.17338975
0,1.2875,0.95,0.4375,9.2135875
1,1.425,1.1375,0.4125,12.47378
0,1.475,1.15,0.35,14.061352
1,1.4875,1.15,0.35,13.19669225
1,1.45,1.2,0.45,14.01882775
0,1.225,0.9875,0.35,6.27941425
0,1.4625,1.1375,0.375,12.34620725
0,1.3,1.025,0.2875,7.4559185
1,1.4,1.075,0.3125,8.8733935
0,1.25,1.0125,0.3875,9.808927
1,1.325,1.05,0.425,11.623295
0,1.3,0.9875,0.3125,11.43902325
0,1.6375,1.3375,0.5125,20.70930975
1,1.6875,1.3875,0.5125,20.2131935
1,1.55,1.2,0.4125,15.09610875
1,1.7,1.375,0.5,14.8834875
1,1.35,1.1875,0.3875,15.03940975
0,1.0625,0.7875,0.3125,3.21766825
0,1.5,1.15,0.3875,12.62970225
1,1.6125,1.25,0.5625,16.6411565
1,1.475,1.175,0.425,10.0640725
1,0.9625,0.7625,0.3125,4.139027
1,1.3625,1.1125,0.375,10.02154825
0,1.375,1.05,0.425,9.525432
1,1.3,1.0125,0.3,7.49844275
0,1.3125,1,0.325,6.81805475
1,1.5,1.2,0.425,12.96989625
1,1.775,1.4125,0.4875,22.2543575
0,1.6375,1.3125,0.4625,13.8062065
0,1.5,1.175,0.3875,12.40290625
1,1.6,1.1875,0.35,13.87708025
1,1.6375,1.25,0.5125,17.61921425
1,1.725,1.375,0.5,19.4761065
0,1.5,1.275,0.4625,17.27902025
0,1.55,1.2125,0.3625,13.19669225
1,1.125,0.8375,0.2625,5.28718175
0,1.325,1.0625,0.275,6.7188315
1,1.75,1.3125,0.475,20.0430965
0,1.125,0.8875,0.2875,5.10291
0,1.45,1.125,0.3,11.850091
1,1.6,1.1875,0.475,12.37455675
0,1.4,1.1625,0.3625,9.48290775
0,1.275,1,0.35,7.3425205
1,1.775,1.3875,0.425,15.23785625
1,1.8125,1.45,0.4625,22.80717275
0,1.325,1.025,0.4125,5.3580555
1,1.2125,0.9125,0.375,11.75086775
1,1.725,1.3375,0.4625,22.5945515
0,1.625,1.275,0.4,18.10115575
0,1.0375,0.7875,0.3,5.6415505
0,1.6625,1.2875,0.5,14.50076925
0,1.1875,0.8875,0.3,6.633783
0,1.45,1.125,0.4375,12.0485375
0,1.8375,1.475,0.5625,18.0586315
1,1.5,1.175,0.3375,13.19669225
0,1.4,1.0875,0.45,10.20582
1,1.7,1.2625,0.425,18.6256215
0,0.8875,0.6625,0.2125,1.9561155
0,1.2625,0.9625,0.3625,6.690482
0,1.675,1.3,0.4375,17.78931125
1,1.375,1.075,0.3875,8.1930055
0,1.5125,1.225,0.45,13.60776
1,1.2875,1.0625,0.3375,7.55514175
1,1.55,1.1625,0.35,13.5794105
1,1.525,1.1875,0.4,10.87203325
0,1.4875,1.1375,0.4875,13.02659525
0,1.3125,1.0125,0.4,8.958442
0,1.225,0.975,0.3375,6.860579
1,1.3375,1.025,0.325,9.4970825
0,1.5875,1.2375,0.425,18.6256215
0,0.8625,0.675,0.2375,1.88524175
1,1.6625,1.2875,0.45,16.85377775
0,1.4625,1.1625,0.475,11.07047975
1,1.475,1.1625,0.375,11.113004
0,1.4,1.125,0.4625,10.78698475
0,1.7125,1.3,0.4125,19.8163005
1,1.5875,1.2375,0.4375,14.75591475
1,1.5125,1.1875,0.3625,13.31009025
0,1.5625,1.1875,0.4375,18.597272
0,1.0125,0.775,0.25,4.9044635
1,1.275,0.925,0.525,14.401546
1,1.625,1.25,0.4125,13.7495075
0,1.5625,1.2375,0.3875,13.8062065
0,1.625,1.2625,0.475,16.726205
0,1.5125,1.175,0.4125,17.08057375
1,1.4875,1.2,0.4,14.81261375
1,1.375,1.1,0.3875,8.8733935
0,1.5,1.175,0.4375,13.79203175
1,1.1875,0.9375,0.35,5.443104
1,1.75,1.3375,0.4375,19.29183475
1,1.575,1.2875,0.4,15.6772735
0,1.1875,0.9375,0.325,5.88252125
0,1.6375,1.3,0.425,15.025235
0,1.1875,0.925,0.3125,9.8372765
0,1.5625,1.2375,0.3875,13.04077
1,1.5,1.2,0.45,12.74310025
1,1.5625,1.2125,0.4375,20.79435825
1,1.275,1,0.3,9.8372765
1,1.6,1.2625,0.475,13.70698325
0,1.625,1.2125,0.35,13.4660125
0,1.375,1.0875,0.275,9.68135425
1,1.5,1.1625,0.4,13.210867
0,1.4875,1.175,0.3875,13.947954
0,1.7125,1.3,0.375,13.13999325
0,1.4875,1.1375,0.3625,12.190285
0,1.2875,0.925,0.2875,9.68135425
1,1.1,0.85,0.3375,4.26659975
0,1.2625,1.1,0.35,9.68135425
1,1.2875,1.0625,0.35,8.618248
0,1.375,1.0625,0.375,11.6516445
0,1.325,1.0875,0.3375,9.28446125
0,1.475,1.1,0.375,10.9712565
0,1.4625,1.1625,0.375,12.23280925
0,1.55,1.225,0.4,12.47378
1,1.5125,1.2125,0.4125,12.85649825
0,1.3,0.9625,0.2875,6.76135575
1,1.2375,0.925,0.3,7.93786
1,1.4,1.0875,0.4625,11.963489
0,1.75,1.45,0.5125,21.02115425
1,1.6125,1.3,0.425,14.911837
0,1.175,0.9375,0.325,6.08096775
0,1.25,0.975,0.3125,7.04485075
1,1.0875,0.9875,0.2625,3.855532
0,1.475,1.25,0.5,11.679994
0,1.475,1.175,0.3375,15.2803805
0,1.35,1.0625,0.3,8.34892775
0,1.5875,1.25,0.425,17.3215445
1,1.0875,0.875,0.275,4.0539785
0,1.4625,1.1375,0.3625,11.18387775
0,1.125,0.875,0.325,5.88252125
1,1.4375,1.0625,0.375,12.8990225
1,1.7125,1.4125,0.4375,22.04173625
1,1.45,1.15,0.3,13.11164375
1,1.6375,1.1375,0.425,16.6411565
0,1.6125,1.25,0.4,19.050864
1,0.9625,0.7625,0.2625,3.86970675
0,1.4125,1.1125,0.35,11.509897
1,1.45,1.1375,0.4125,10.4609655
0,1.0125,0.7625,0.3,3.50116325
1,1.4875,1.1625,0.3625,11.396499
0,1.5125,1.1375,0.4,11.9351395
1,1.1125,0.8375,0.35,5.06038575
1,1.7125,1.325,0.425,20.93610575
0,1.5875,1.2875,0.4,15.26620575
1,1.5375,1.1875,0.3625,11.09882925
1,1.5875,1.275,0.4625,14.911837
0,1.475,1.225,0.4125,15.8473705
0,1.525,1.2125,0.425,11.8784405
0,1.6375,1.35,0.5375,21.04950375
0,1.575,1.2,0.4625,15.025235
1,1.5625,1.2125,0.475,12.43125575
1,1.75,1.4375,0.5,21.98503725
1,1.6375,1.2875,0.45,17.56251525
0,1.175,0.925,0.325,5.6982495
0,1.075,0.825,0.2375,3.72795925
1,1.25,0.975,0.325,7.10154975
1,1.625,1.2625,0.4125,13.56523575
0,1.525,1.2,0.375,15.87572
0,1.7125,1.275,0.45,17.90270925
0,1.1625,0.8875,0.3,7.72523875
0,1.65,1.325,0.425,16.74037975
1,1.5125,1.2,0.375,12.77144975
0,1.3125,1.075,0.4125,10.659412
0,1.4,1.025,0.4125,9.93649975
0,1.325,1.0375,0.4375,7.3992195
0,1.5625,1.175,0.4375,17.1514475
1,1.6,1.25,0.4125,15.705623
1,1.75,1.4375,0.5125,17.1514475
1,1.25,1,0.375,7.7394135
0,1.625,1.2625,0.425,19.7029025
0,1.275,1.0125,0.375,9.8372765
0,1.6875,1.2875,0.3625,17.08057375
1,1.6,1.25,0.375,10.5176645
1,1.325,1.0375,0.4,8.32057825
1,1.675,1.2875,0.425,18.72484475
1,1.8,1.4375,0.5375,24.28134675
1,1.0625,0.8125,0.3375,4.15320175
0,1.5375,1.175,0.4375,16.08834125
1,1.45,1.1,0.45,10.39009175
1,1.675,1.3625,0.4375,19.83047525
0,1.0375,0.8125,0.35,4.35164825
1,1.4,1.1,0.3875,9.525432
1,1.5625,1.3,0.45,13.73533275
1,1.3375,1.15,0.3625,9.62465525
1,1.25,1,0.4125,7.654365
1,1.375,1.025,0.3625,8.77417025
0,1.575,1.225,0.3875,17.860185
1,1.4875,1.1625,0.375,13.9196045
1,1.8,1.4125,0.425,20.4966885
1,1.3875,1.1,0.35,9.808927
1,1.4375,1.15,0.4625,12.71475075
0,1.15,0.9,0.3125,6.13766675
0,1.6375,1.35,0.4125,19.71707725
0,1.575,1.2,0.375,14.69921575
1,1.8125,1.4,0.4625,24.7491135
1,1.4375,1.125,0.3375,10.262519
1,1.6,1.35,0.4375,14.458245
0,1.3125,1.0625,0.475,13.11164375
0,1.725,1.2875,0.45,27.82503425
0,1.5875,1.2,0.3625,18.8524175
0,1.425,1.125,0.3875,9.241937
1,1.375,1.175,0.375,10.6877615
0,1.4625,1.275,0.4,18.1153305
0,1.7375,1.2875,0.4375,16.386011
1,1.475,1.1,0.35,13.53688625
0,1.5375,1.225,0.425,13.93377925
0,1.4375,1.175,0.375,12.77144975
1,1.3,1.0625,0.375,10.9145575
1,1.4625,1.1375,0.325,11.6516445
1,1.5375,1.175,0.4375,14.55746825
0,1.125,0.8375,0.3125,6.13766675
1,1.125,0.8875,0.2625,6.7188315
1,1.1,0.8625,0.425,4.252425
1,1.5,1.1875,0.375,16.3009625
0,1.4875,1.1375,0.375,14.685041
0,1.225,0.9625,0.3125,9.07184
1,1.6,1.2125,0.3625,15.66309875
1,1.2125,0.9125,0.35,7.35669525
0,1.1375,0.875,0.275,5.6699
0,1.575,1.225,0.4,11.5382465
0,1.4125,1.1,0.4625,9.752228
0,1.525,1.2,0.4625,19.54698025
1,1.35,1.1875,0.3875,11.169703
1,1.425,1.075,0.4,10.98543125
1,1.6375,1.2625,0.4875,19.504456
0,1.3125,1.0875,0.3875,13.777857
1,1.5,1.1875,0.45,12.31785775
1,1.4625,1.1125,0.35,12.20445975
1,1.425,1.0875,0.375,10.98543125
1,1.325,1.0375,0.2875,6.6054335
1,1.225,0.95,0.3625,7.0590255
0,1.3375,1.05,0.4,7.7961125
0,1.625,1.3125,0.475,22.0275615
0,1.075,0.775,0.325,7.75358825
1,1.375,1.075,0.3125,11.43902325
0,1.5,1.2125,0.4375,14.16057525
1,1.5625,1.225,0.5,16.71203025
0,1.475,1.175,0.3625,12.88484775
0,1.3875,1.0875,0.35,9.6671795
0,1.675,1.3,0.475,23.00561925
0,1.775,1.4,0.55,26.12406425
0,1.4875,1.2,0.4625,14.911837
1,1.075,0.8375,0.3,4.3941725
0,1.3375,1.0125,0.4625,9.00096625
0,1.7125,1.375,0.475,25.231055
1,1.425,1.1125,0.3625,11.679994
0,1.6125,1.275,0.475,17.1514475
0,1.25,0.9625,0.3375,6.36446275
0,1.3375,1.025,0.3375,8.09378225
0,1.6,1.275,0.4375,14.5999925
0,1.125,0.825,0.2625,7.29999625
0,1.6125,1.2375,0.475,17.33571925
0,1.4,1.075,0.3875,11.3398
1,1.6875,1.375,0.4375,19.674553
1,1.4,1.1,0.3375,9.922325
0,1.5375,1.1875,0.5125,16.99552525
1,1.3875,1.05,0.275,12.60135275
0,1.55,1.125,0.5,12.14776075
0,1.4875,1.125,0.35,11.24057675
0,1.4125,1.0875,0.375,16.42853525
0,1.3625,1.125,0.375,10.75863525
0,1.4625,1.1375,0.3125,11.0846545
0,1.575,1.2625,0.4375,15.7339725
0,1.5,1.1625,0.3875,17.70426275
1,1.25,0.9375,0.35,6.860579
1,1.6375,1.2875,0.5,20.56756225
1,1.5125,1.125,0.4125,10.1207715
0,1.375,1.075,0.45,12.48795475
0,1.4875,1.15,0.35,11.94931425
0,1.2125,0.925,0.325,7.04485075
0,1.5125,1.1875,0.475,16.726205
1,1.1125,0.8875,0.375,5.1312595
1,1.425,1.125,0.3375,9.48290775
0,1.775,1.4,0.4375,16.045817
1,1.35,1.0375,0.4375,7.7961125
0,1.4625,1.0125,0.375,12.3320325
1,1.3125,0.95,0.35,5.499803
0,1.25,0.9375,0.325,8.66077225
1,1.3375,1.0375,0.425,8.3631025
1,1.75,1.3125,0.475,24.22464775
1,1.65,1.3,0.5,19.0792135
1,1.3625,1.075,0.4125,8.32057825
1,1.4375,1.1625,0.4875,11.8217415
0,1.5125,1.1375,0.4,15.1102835
1,1.2375,0.9375,0.375,7.41339425
1,1.6625,1.325,0.45,17.98775775
0,1.3,1.0875,0.4875,8.46232575
1,1.075,0.85,0.3,4.40834725
1,1.575,1.2,0.4,14.92601175
1,1.55,1.275,0.375,16.4710595
0,1.0625,0.825,0.2,3.798833
0,1.3125,1,0.3875,7.994559
0,1.075,0.8375,0.2875,4.706017
0,1.3125,0.9125,0.425,12.417081
0,1.15,0.9125,0.3125,5.37223025
0,1.4375,1.1125,0.35,9.2135875
0,1.4625,1.125,0.375,11.49572225
